"TOA5","CR800Series","CR800","35658","CR800.Std.28","CPU:Ultralytics1.CR8","18129","Five_Sec"
"TIMESTAMP","RECORD","BattV","PTemp_C","SlrW","AirTC","RH","NMEASent(1)","NMEASent(2)","Latitude_A","Latitude_B","Longitude_A","Longitude_B","Speed","Course","MagVar","FixQual","NumSats","Altitude","PPS","SecSinceGPRMC","GPSReady","MaxClockChange","NumClockChange","BP_kPa","VWC","EC","T","P","PA","VR"
"TS","RN","Volts","Deg C","W/m^2","Deg C","%","","","degrees","minutes","degrees","minutes","knots","degrees","degrees","code","count","meters","microseconds","seconds","count","milliseconds","count","kPa","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2015-09-15 14:14:55",0,13.09,12.28,54.69,7.002,87.4,"$GPRMC,191451,A,6451.5931,N,14751.0005,W,000.0,000.0,150915,019.4,E","$GPGGA,191451,6451.5931,N,14751.0005,W,1,06,1.3,212.2,M,7.9,M,,",64,51.59,-147,-51,0,0,19.4,1,6,212.2,"NAN",0.03,0,0,0,97.9,0,0.001,6.124,1.018,1.081,1
"2015-09-15 14:15:00",1,13.08,12.28,54.69,7.036,87.4,"$GPRMC,191456,A,6451.5936,N,14751.0021,W,000.0,000.0,150915,019.4,E","$GPGGA,191456,6451.5936,N,14751.0021,W,1,05,1.5,212.0,M,7.9,M,,",64,51.59,-147,-51,0,0,19.4,1,5,212,"NAN",0.03,0,0,0,97.9,0,0.001,6.115,1.021,1.081,1
"2015-09-15 14:15:05",2,13.08,12.28,54.36,7.002,87.3,"$GPRMC,191501,A,6451.5949,N,14751.0027,W,000.0,000.0,150915,019.4,E","$GPGGA,191501,6451.5949,N,14751.0027,W,1,05,1.5,214.4,M,7.9,M,,",64,51.59,-147,-51,0,0,19.4,1,5,214.4,"NAN",0.04,0,0,0,97.9,0,0.001,6.085,1.02,1.081,1
"2015-09-15 14:15:10",3,13.08,12.26,54.36,7.036,87.3,"$GPRMC,191506,A,6451.5970,N,14751.0033,W,000.0,000.0,150915,019.4,E","$GPGGA,191506,6451.5970,N,14751.0033,W,1,05,1.5,218.6,M,7.9,M,,",64,51.6,-147,-51,0,0,19.4,1,5,218.6,"NAN",0.03,0,0,0,97.9,0,0.001,6.15,1.019,1.081,1
"2015-09-15 14:15:15",4,13.08,12.26,54.02,7.002,87.3,"$GPRMC,191511,A,6451.5972,N,14751.0032,W,000.0,000.0,150915,019.4,E","$GPGGA,191511,6451.5972,N,14751.0032,W,1,06,1.3,219.8,M,7.9,M,,",64,51.6,-147,-51,0,0,19.4,1,6,219.8,"NAN",0.02,0,0,0,97.8,0,0.001,6.147,1.02,1.081,1
"2015-09-15 14:15:20",5,13.08,12.26,53.68,7.002,87.3,"$GPRMC,191516,A,6451.5970,N,14751.0019,W,000.0,000.0,150915,019.4,E","$GPGGA,191516,6451.5970,N,14751.0019,W,1,05,1.5,220.6,M,7.9,M,,",64,51.6,-147,-51,0,0,19.4,1,5,220.6,"NAN",0.03,0,0,0,97.9,0,0.001,6.124,1.02,1.081,1
"2015-09-15 14:15:25",6,13.07,12.23,53.34,7.036,87.4,"$GPRMC,191521,A,6451.5962,N,14750.9999,W,000.0,000.0,150915,019.4,E","$GPGGA,191521,6451.5962,N,14750.9999,W,1,05,1.5,221.1,M,7.9,M,,",64,51.6,-147,-51,0,0,19.4,1,5,221.1,"NAN",0.03,0,0,0,97.9,0,0.001,6.174,1.021,1.081,1
"2015-09-15 14:15:30",7,13.07,12.23,53,7.036,87.4,"$GPRMC,191526,A,6451.5958,N,14750.9996,W,000.7,308.8,150915,019.4,E","$GPGGA,191526,6451.5958,N,14750.9996,W,1,06,1.3,223.4,M,7.9,M,,",64,51.6,-147,-51,0.7,308.8,19.4,1,5,222.8,"NAN",0,0,0,0,97.9,0,0.001,6.165,1.02,1.081,1
"2015-09-15 14:15:35",8,13.07,12.21,52.33,7.036,87.4,"$GPRMC,191531,A,6451.5956,N,14750.9976,W,000.0,308.4,150915,019.4,E","$GPGGA,191531,6451.5956,N,14750.9976,W,1,05,1.5,225.8,M,7.9,M,,",64,51.6,-147,-51,0,308.4,19.4,1,5,225.8,"NAN",0.03,0,0,0,97.8,0,0.001,6.18,1.018,1.081,1
"2015-09-15 14:15:40",9,13.07,12.21,51.99,7.002,87.4,"$GPRMC,191536,A,6451.5953,N,14750.9964,W,001.0,313.0,150915,019.4,E","$GPGGA,191536,6451.5953,N,14750.9964,W,1,05,1.5,225.8,M,7.9,M,,",64,51.6,-147,-51,1,313,19.4,1,5,225.8,"NAN",0.03,0,0,0,97.9,0,0.001,6.174,1.019,1.081,1
"2015-09-15 14:15:45",10,13.07,12.19,51.65,7.002,87.5,"$GPRMC,191541,A,6451.5950,N,14750.9968,W,001.1,319.5,150915,019.4,E","$GPGGA,191541,6451.5950,N,14750.9968,W,1,05,1.5,224.5,M,7.9,M,,",64,51.6,-147,-51,1.1,319.5,19.4,1,5,224.5,"NAN",0.04,0,0,0,97.8,0,0.001,6.171,1.017,1.081,1
"2015-09-15 14:15:50",11,13.07,12.19,50.98,7.002,87.5,"$GPRMC,191546,A,6451.5942,N,14750.9962,W,000.0,319.3,150915,019.4,E","$GPGGA,191546,6451.5942,N,14750.9962,W,1,05,1.5,222.5,M,7.9,M,,",64,51.59,-147,-51,0,319.3,19.4,1,5,222.5,"NAN",0.03,0,0,0,97.8,0,0.001,6.201,1.02,1.081,1
"2015-09-15 14:15:55",12,13.06,12.19,50.64,7.003,87.6,"$GPRMC,191551,A,6451.5939,N,14750.9959,W,000.0,319.3,150915,019.4,E","$GPGGA,191551,6451.5939,N,14750.9959,W,1,05,1.5,222.5,M,7.9,M,,",64,51.59,-147,-51,0,319.3,19.4,1,5,222.5,"NAN",0.03,0,0,0,97.9,0,0.001,6.177,1.019,1.081,1
"2015-09-15 14:16:00",13,13.05,12.16,50.3,6.969,87.6,"$GPRMC,191556,A,6451.5942,N,14750.9961,W,000.0,314.4,150915,019.4,E","$GPGGA,191556,6451.5942,N,14750.9961,W,1,07,1.1,223.2,M,7.9,M,,",64,51.59,-147,-51,0.9,314.4,19.4,1,6,222.9,"NAN",1.03,0,0,0,97.9,0,0.001,6.192,1.019,1.081,1
"2015-09-15 14:16:05",14,13.05,12.16,49.97,6.969,87.7,"$GPRMC,191601,A,6451.5942,N,14750.9966,W,000.0,314.4,150915,019.4,E","$GPGGA,191601,6451.5942,N,14750.9966,W,1,06,1.1,224.2,M,7.9,M,,",64,51.59,-147,-51,0,314.4,19.4,1,6,224.2,"NAN",0.01,0,0,0,97.9,0,0.001,6.195,1.019,1.081,1
"2015-09-15 14:16:10",15,13.05,12.14,49.97,7.003,87.7,"$GPRMC,191606,A,6451.5946,N,14750.9965,W,000.0,331.1,150915,019.4,E","$GPGGA,191606,6451.5946,N,14750.9965,W,1,07,1.1,225.6,M,7.9,M,,",64,51.59,-147,-51,0,331.1,19.4,1,7,225.3,"NAN",1.01,0,0,0,97.9,0,0.001,6.183,1.019,1.081,1
"2015-09-15 14:16:15",16,13.05,12.14,49.63,7.037,87.8,"$GPRMC,191611,A,6451.5943,N,14750.9962,W,000.0,298.8,150915,019.4,E","$GPGGA,191611,6451.5943,N,14750.9962,W,1,06,1.1,226.1,M,7.9,M,,",64,51.59,-147,-51,0,298.8,19.4,1,6,226.1,"NAN",0.02,0,0,0,97.8,0,0,6.198,1.021,1.081,1
"2015-09-15 14:16:20",17,13.05,12.14,49.29,7.003,87.9,"$GPRMC,191616,A,6451.5940,N,14750.9956,W,000.0,298.8,150915,019.4,E","$GPGGA,191616,6451.5940,N,14750.9956,W,1,07,1.1,226.1,M,7.9,M,,",64,51.59,-147,-51,0,298.8,19.4,1,7,226.2,"NAN",0,0,0,0,97.8,0,0.001,6.216,1.018,1.081,1
"2015-09-15 14:16:25",18,13.05,12.12,49.29,7.003,88,"$GPRMC,191621,A,6451.5937,N,14750.9944,W,000.0,298.8,150915,019.4,E","$GPGGA,191621,6451.5937,N,14750.9944,W,1,06,1.1,225.9,M,7.9,M,,",64,51.59,-147,-50.99,0,298.8,19.4,1,7,225.9,"NAN",0,0,0,0,97.9,0,0.001,6.198,1.019,1.081,1
"2015-09-15 14:16:30",19,13.05,12.12,48.95,7.003,88.1,"$GPRMC,191626,A,6451.5935,N,14750.9938,W,000.0,298.8,150915,019.4,E","$GPGGA,191626,6451.5935,N,14750.9938,W,1,07,1.1,225.7,M,7.9,M,,",64,51.59,-147,-50.99,0,298.8,19.4,1,7,225.7,"NAN",0.02,0,0,0,97.8,0,0.001,6.225,1.019,1.081,1
"2015-09-15 14:16:35",20,13.05,12.09,48.95,7.037,88.1,"$GPRMC,191631,A,6451.5933,N,14750.9922,W,000.0,298.8,150915,019.4,E","$GPGGA,191631,6451.5933,N,14750.9922,W,1,06,1.1,224.8,M,7.9,M,,",64,51.59,-147,-50.99,0,298.8,19.4,1,6,224.8,"NAN",0.02,0,0,0,97.9,0,0,6.216,1.023,1.081,1
